0
000000001;000001000
000001001;000002000
000002001;000003000
000003001;000004000
000004001;000005000
000005001;000006000
000006001;000007000
000007001;000008000
000008001;000009000
000009001;000010000
000010001;000011000
000011001;000012000
000012001;000013000
000013001;000014000
000014001;000015000
000015001;000016000
000016001;000017000
000017001;000018000
000018001;000019000
000019001;000020000
000020001;000021000
000021001;000022000
000022001;000023000
000023001;000024000
000024001;000025000
000025001;000026000
000026001;000027000
000027001;000028000
000028001;000029000
000029001;000030000
000030001;000031000
000031001;000032000
000032001;000033000
000033001;000034000
000034001;000035000
000035001;000036000
000036001;000037000
000037001;000038000
000038001;000039000
000039001;000040000
000040001;000041000
000041001;000042000
000042001;000043000
000043001;000044000
000044001;000045000
000045001;000046000
000046001;000047000
000047001;000048000
000048001;000049000
000049001;000050000
000050001;000051000
000051001;000052000
000052001;000053000
000053001;000054000
000054001;000055000
000055001;000056000
000056001;000057000
000057001;000058000
000058001;000059000
000059001;000060000
000060001;000061000
000061001;000062000
000062001;000063000
000063001;000064000
000064001;000065000
000065001;000066000
000066001;000067000
000067001;000068000
000068001;000069000
000069001;000070000
000070001;000071000
000071001;000072000
000072001;000073000
000073001;000074000
000074001;000075000
000075001;000076000
000076001;000077000
000077001;000078000
000078001;000079000
000079001;000080000
000080001;000081000
000081001;000082000
000082001;000083000
000083001;000084000
000084001;000085000
000085001;000086000
000086001;000087000
000087001;000088000
000088001;000089000
000089001;000090000
000090001;000091000
000091001;000092000
000092001;000093000
000093001;000094000
000094001;000095000
000095001;000096000
000096001;000097000
000097001;000098000
000098001;000099000
000099001;000100000
