0
0100001;0101000
0101001;0102000
0102001;0103000
0103001;0104000
0104001;0105000
0105001;0106000
0106001;0107000
0107001;0108000
0108001;0109000
0109001;0110000
0110001;0111000
0111001;0112000
0112001;0113000
0113001;0114000
0114001;0115000
0115001;0116000
0116001;0117000
0117001;0118000
0118001;0119000
0119001;0120000
0120001;0121000
0121001;0122000
0122001;0123000
0123001;0124000
0124001;0125000
0125001;0126000
0126001;0127000
0127001;0128000
0128001;0129000
0129001;0130000
0130001;0131000
0131001;0132000
0132001;0133000
0133001;0134000
0134001;0135000
0135001;0136000
0136001;0137000
0137001;0138000
0138001;0139000
0139001;0140000
0140001;0141000
0141001;0142000
0142001;0143000
0143001;0144000
0144001;0145000
0145001;0146000
0146001;0147000
0147001;0148000
0148001;0149000
0149001;0150000
