0
000000001;000001000
000001001;000002000
000002001;000003000
000003001;000004000
000004001;000005000
000005001;000006000
000006001;000007000
000007001;000008000
000008001;000009000
000009001;000010000
000010001;000011000
000011001;000012000
000012001;000013000
000013001;000014000
000014001;000015000
000015001;000016000
000016001;000017000
000017001;000018000
000018001;000019000
000019001;000020000
000020001;000021000
000021001;000022000
000022001;000023000
000023001;000024000
000024001;000025000
000025001;000026000
000026001;000027000
000027001;000028000
000028001;000029000
000029001;000030000
000030001;000031000
000031001;000032000
000032001;000033000
000033001;000034000
000034001;000035000
000035001;000036000
000036001;000037000
000037001;000038000
000038001;000039000
000039001;000040000
